,City,Country,Date,Cloudiness,Humidity,Wind Speed,Max Temp,Lat,Lng
272,Ahipara,NZ,1619315517,42,54,8.66,64.8,-35.1667,173.1667
273,Port Lincoln,AU,1619315306,0,55,4.29,64.49,-34.7333,135.8667
274,San Jose,US,1619315373,90,45,14.97,62.6,37.3394,-121.895
275,Airai,TL,1619315395,22,53,3.94,71.26,-8.9266,125.4092
276,Pangody,RU,1619315779,100,92,4.29,29.86,65.85,74.4859
277,Inhambane,MZ,1619315780,2,85,9.57,71.08,-23.865,35.3833
278,Yumen,CN,1619315229,8,26,10.58,54.36,40.2833,97.2
279,Havre-St-Pierre,CA,1619315315,20,87,11.5,37.4,50.2334,-63.5986
280,Reconquista,AR,1619315780,4,86,6.31,60.73,-29.15,-59.65
281,Dicabisagan,PH,1619315781,65,69,7.47,80.85,17.0818,122.4157
282,Bereda,ES,1619315253,100,100,1.01,53.01,43.2686,-7.5406
283,Salalah,OM,1619315493,40,78,4.61,82.4,17.0151,54.0924
284,Skjervøy,NO,1619315308,88,59,4.36,31.73,70.0311,20.9714
285,Sabha,LY,1619315782,0,49,17.63,65.75,27.0377,14.4283
286,Sehithwa,BW,1619315621,4,26,5.44,62.64,-20.4667,22.7167
287,Luanda,AO,1619315545,20,94,2.3,77.0,-8.8368,13.2343
288,Rajaori,IN,1619315782,0,33,4.36,67.14,33.3833,74.3
289,Ürümqi,CN,1619315783,0,28,6.71,42.8,43.801,87.6005
290,Koppies,ZA,1619315783,0,34,2.98,49.87,-27.2418,27.5742
291,Murray Bridge,AU,1619315784,16,67,5.5,63.0,-35.1167,139.2667
292,Kolokani,ML,1619315649,80,25,2.57,88.34,13.5728,-8.0339
293,Gachsaran,IR,1619315784,0,37,4.25,66.2,30.3586,50.7981
294,Perieţi,RO,1619315785,0,87,3.44,46.0,44.4,24.55
295,Manama,BH,1619315785,0,54,4.61,82.4,26.2154,50.5832
296,Mogadishu,SO,1619315336,52,76,9.95,82.65,2.0371,45.3438
297,Biak,ID,1619315443,88,66,5.37,82.9,-0.9131,122.8766
298,Bambous Virieux,MU,1619315408,75,78,17.27,78.8,-20.3428,57.7575
299,Dharmābād,IN,1619315786,7,30,3.76,88.74,18.9,77.85
300,Asău,RO,1619315786,99,57,2.86,42.01,46.4333,26.4
301,Oktyabr'skiy,RU,1619315787,100,93,11.39,43.61,54.4815,53.471
302,Clyde River,CA,1619315069,90,93,3.44,17.6,70.4692,-68.5914
303,Touros,BR,1619315573,0,94,2.3,75.2,-5.1989,-35.4608
304,Quimper,FR,1619315689,0,62,10.36,53.6,48.0,-4.1
305,Finschhafen,PG,1619315788,100,72,1.95,83.5,-6.6024,147.8681
306,Lumsden,CA,1619315788,20,22,14.97,42.8,50.6501,-104.8678
307,Yakeshi,CN,1619315789,59,28,1.36,51.19,49.2833,120.7333
308,Kapoeta,SS,1619315789,100,67,0.47,76.42,4.7717,33.5903
309,Karratha,AU,1619315789,0,24,19.55,86.56,-20.7377,116.8463
310,Dingli,MT,1619315526,0,88,2.3,57.0,35.8614,14.3822
311,Vao,NC,1619315790,100,71,12.37,74.19,-22.6667,167.4833
312,Obo,CF,1619315790,100,98,5.35,69.35,5.3998,26.4869
313,Tuatapere,NZ,1619315326,41,82,8.99,45.0,-46.1333,167.6833
314,Bandarbeyla,SO,1619315791,26,76,6.4,82.35,9.4942,50.8122
315,Orange Cove,US,1619315680,94,35,1.99,73.0,36.6244,-119.3137
316,Bol,TD,1619315792,100,70,9.31,81.1,13.4586,14.7147
317,Laguna,US,1619315607,1,51,17.27,63.0,38.421,-121.4238
318,Salò,IT,1619315792,28,66,5.75,54.0,45.6086,10.531
319,Souillac,MU,1619315205,75,78,17.27,78.8,-20.5167,57.5167
320,Shingū,JP,1619315793,40,68,10.36,68.0,33.7333,135.9833
321,Kruisfontein,ZA,1619315415,37,94,1.99,57.99,-34.0033,24.7314
322,Upington,ZA,1619315793,0,36,3.44,59.0,-28.4478,21.2561
323,Coyhaique,CL,1619315764,100,97,4.54,46.29,-45.5752,-72.0662
324,Horsham,GB,1619315794,0,87,6.91,43.0,51.064,-0.3272
325,Mitchell,US,1619315760,1,29,6.91,46.4,43.7094,-98.0298
326,Baykit,RU,1619315795,100,88,3.04,39.06,61.67,96.37
327,Tomatlán,MX,1619315795,100,69,3.62,74.95,19.9333,-105.25
328,Fort Saint James,CA,1619315795,98,38,8.14,44.8,54.4333,-124.25
329,Umba,RU,1619315796,100,98,11.83,35.37,66.6871,34.3429
330,Kuytun,RU,1619315250,100,62,6.6,38.46,54.3419,101.5036
331,Umm Hājar,TD,1619315797,9,12,5.93,85.15,13.2954,19.6966
332,Maragogi,BR,1619315336,11,79,5.12,77.54,-9.0122,-35.2225
333,Turukhansk,RU,1619315114,100,94,10.36,31.06,65.8167,87.9833
334,Mae Sai,TH,1619315797,75,88,5.75,75.2,20.4335,99.8762
335,Bulgan,MN,1619315798,100,98,2.89,33.28,48.8125,103.5347
336,Gimli,CA,1619315681,18,19,6.91,44.6,50.6336,-96.9907
337,Abastumani,GE,1619315798,100,100,3.44,44.6,41.7075,42.8457
338,Butte,US,1619315267,1,37,5.75,66.2,39.6499,-121.5677
339,Smidovich,RU,1619315799,34,25,6.26,45.14,48.6,133.8167
340,Verkhoyansk,RU,1619315258,99,88,6.44,29.3,67.5447,133.385
341,Gamba,GA,1619315554,47,89,5.08,73.87,-2.65,10.0
342,Madera,US,1619315800,82,33,1.01,66.99,37.1666,-119.8343
343,Guéret,FR,1619315800,0,44,4.61,57.2,46.1667,1.8667
344,Betsiamites,CA,1619315801,20,53,5.75,44.6,48.9413,-68.646
345,Kassala,SD,1619315537,82,44,6.17,84.2,15.451,36.4
346,Nueva Loja,EC,1619315801,100,95,1.61,72.59,0.0847,-76.8828
347,Gizo Government Station,SB,1619315413,37,66,7.87,85.62,-8.103,156.8419
348,Sorong,ID,1619315239,16,70,5.68,84.13,-0.8833,131.25
349,Birao,CF,1619315802,80,57,5.03,77.81,10.2849,22.7882
350,Hailey,US,1619315786,1,50,9.22,51.8,43.5196,-114.3153
351,Kargasok,RU,1619315803,100,98,5.88,36.36,59.0556,80.8572
352,Isangel,VU,1619315491,75,66,5.75,87.8,-19.55,169.2667
353,Gurupi,BR,1619315803,73,76,3.83,76.82,-11.7292,-49.0686
354,Logroño,ES,1619315732,0,87,8.05,54.0,42.4667,-2.45
355,Topolobampo,MX,1619315804,1,30,11.5,82.4,25.6,-109.05
356,Kiryat Gat,IL,1619315344,10,100,3.15,64.0,31.61,34.7642
357,Trindade,BR,1619315380,0,83,3.44,69.8,-16.6494,-49.4889
358,Marabu,MY,1619315805,20,70,5.75,87.8,4.4148,114.0089
359,Oussouye,SN,1619315805,0,78,2.3,73.4,12.485,-16.5469
360,Dillon,US,1619315666,90,88,9.22,66.0,34.4166,-79.3712
361,Ostrovnoy,RU,1619315266,100,99,4.21,34.27,68.0531,39.5131
362,Maputo,MZ,1619315684,20,88,3.44,70.0,-25.9653,32.5892
363,Dingle,PH,1619315806,57,56,1.39,88.2,10.9995,122.6711
364,Río Tercero,AR,1619315807,0,87,1.99,48.0,-32.173,-64.1141
365,Buala,SB,1619315807,55,76,2.19,83.35,-8.145,159.5921
366,Vanino,RU,1619315808,100,46,12.97,38.19,49.0869,140.2543
367,Monkey Bay,MW,1619315808,68,78,9.04,71.83,-14.0728,34.9201
368,Qaqortoq,GL,1619315808,75,30,33.38,53.6,60.7167,-46.0333
369,Henties Bay,NA,1619315313,2,95,5.5,60.01,-22.116,14.2845
370,Broome,US,1619315696,1,35,8.05,55.4,42.2506,-75.833
371,Lipari,IT,1619315809,38,82,5.01,57.0,38.4674,14.954
372,Fairbanks,US,1619315732,1,20,4.61,62.6,64.8378,-147.7164
373,Margate,GB,1619315647,0,79,5.99,45.0,51.3813,1.3862
374,Jiuquan,CN,1619315810,0,19,12.33,59.56,39.7432,98.5174
375,Yatou,CN,1619315810,90,49,14.97,57.49,37.15,122.3833
376,Batalha,BR,1619315811,17,92,4.83,72.68,-9.6778,-37.1247
377,Aykhal,RU,1619315309,100,91,7.47,30.74,66.0,111.5
378,San Cristobal,VE,1619315230,75,83,4.61,80.6,7.7669,-72.225
379,Ambunti,PG,1619315811,89,91,1.83,79.14,-4.2365,142.8448
380,Truckee,US,1619315594,1,52,14.97,42.01,39.328,-120.1833
381,Burns Lake,CA,1619315812,82,25,4.61,48.2,54.2331,-125.7533
382,Cotonou,BJ,1619315812,100,81,8.75,81.27,6.3654,2.4183
383,Sheksna,RU,1619315813,100,91,13.38,43.52,59.21,38.5107
384,Te Anau,NZ,1619315387,15,64,8.43,47.53,-45.4167,167.7167
385,Jablah,SY,1619315814,7,72,5.77,67.1,35.3614,35.9256
386,Musoma,TZ,1619315814,100,85,4.68,67.68,-1.5,33.8
387,Yangi Marg`ilon,UZ,1619315801,0,47,9.22,55.4,40.4272,71.7189
388,Marechal Cândido Rondon,BR,1619315815,100,84,7.02,64.51,-24.5561,-54.0567
389,Bobrovytsya,UA,1619315815,0,80,6.71,37.99,50.75,31.3833
390,Nemuro,JP,1619315477,75,93,6.91,33.8,43.3236,145.575
391,Hasaki,JP,1619315816,75,52,10.36,69.01,35.7333,140.8333
392,Castle Rock,US,1619315816,98,49,4.16,57.0,39.3722,-104.8561
393,Mechanicsville,US,1619315817,90,87,8.05,52.0,37.6088,-77.3733
394,Mamlyutka,KZ,1619315817,100,49,14.03,43.03,54.9375,68.5394
395,Hofn,IS,1619315450,100,89,3.2,44.89,64.2539,-15.2082
396,Pontianak,ID,1619315674,40,89,2.57,80.6,-0.0333,109.3333
397,Dutse,NG,1619315818,100,55,7.72,79.54,11.7594,9.3392
398,Muros,ES,1619315364,100,94,4.56,57.99,42.7762,-9.0603
399,Yanam,IN,1619315819,2,79,2.35,84.2,16.7333,82.2167
400,Pauini,BR,1619315819,95,89,1.07,75.52,-7.7136,-66.9764
401,Changtu,CN,1619315819,7,15,6.62,58.37,42.7788,124.0955
402,Vilhena,BR,1619315820,32,96,2.77,69.31,-12.7406,-60.1458
403,Caramay,PH,1619315820,53,63,0.83,85.78,10.1815,119.236
404,Talcahuano,CL,1619315457,0,82,5.75,57.2,-36.7167,-73.1167
405,Daşoguz,TM,1619315821,0,50,4.61,51.8,41.8363,59.9666
406,Alofi,NU,1619315255,75,83,3.44,82.4,-19.0595,-169.9187
407,San Andrés,CO,1619315602,20,74,9.22,82.4,12.5847,-81.7006
408,Palmer,US,1619315572,20,31,9.22,60.8,42.1584,-72.3287
409,Moranbah,AU,1619315822,100,64,20.31,70.97,-22.0016,148.0466
410,Cockburn Town,TC,1619315734,6,80,21.9,78.49,21.4612,-71.1419
411,Pisco,PE,1619315823,0,88,11.5,66.99,-13.7,-76.2167
412,Flin Flon,CA,1619315522,36,55,2.01,23.67,54.7682,-101.865
413,Barsovo,RU,1619315823,0,100,6.71,37.4,61.1667,73.1667
414,Springbok,ZA,1619315824,63,42,4.34,64.65,-29.6643,17.8865
415,Yulara,AU,1619315292,0,32,20.71,69.8,-25.2406,130.9889
416,Aden,YE,1619315824,5,82,15.55,81.63,12.7794,45.0367
417,Mount Isa,AU,1619315825,7,39,16.11,84.2,-20.7333,139.5
418,Tsabong,BW,1619315825,0,26,6.2,67.82,-26.0217,22.401
419,Noumea,NC,1619315825,90,78,8.05,81.0,-22.2763,166.4572
420,Miyakonojō,JP,1619315826,20,56,9.22,69.8,31.7333,131.0667
421,Vestmannaeyjar,IS,1619315826,100,89,23.64,44.4,63.4427,-20.2734
422,Hokitika,NZ,1619315826,100,90,16.13,54.32,-42.7167,170.9667
423,Havelock,US,1619315324,90,68,16.11,70.0,34.8791,-76.9013
424,Nísia Floresta,BR,1619315733,20,88,3.44,77.0,-6.0911,-35.2086
425,Aklavik,CA,1619315827,17,48,9.22,41.0,68.2191,-135.0107
426,Conde,BR,1619315599,75,94,8.05,77.0,-7.2597,-34.9075
427,Finote Selam,ET,1619315828,71,65,2.26,63.09,10.7,37.2667
428,Deputatsky,RU,1619315584,100,82,9.08,20.08,69.3,139.9
429,Suez,EG,1619315828,0,42,6.44,65.28,29.9737,32.5263
430,Cauquenes,CL,1619315829,0,44,3.69,56.43,-35.9671,-72.3225
431,Qazvin,IR,1619315505,0,58,6.91,59.0,36.2797,50.0049
432,Inuvik,CA,1619315829,83,48,9.22,41.0,68.3499,-133.7218
433,Kedrovyy,RU,1619315830,75,93,8.95,32.0,56.1667,91.8167
434,Bechem,GH,1619315830,100,96,4.88,70.39,7.0903,-2.025
435,Esfarāyen,IR,1619315831,0,47,4.61,57.2,37.0765,57.5101
436,Ol'ga,RU,1619315831,61,26,15.99,49.66,43.7444,135.2892
437,Nosy Varika,MG,1619315317,35,93,7.4,70.05,-20.5833,48.5333
438,Boende,CD,1619315379,99,95,2.66,70.0,-0.2167,20.8667
439,Pedasí,PA,1619315832,50,76,13.38,82.02,7.5333,-80.0333
440,Magistral'nyy,RU,1619315330,100,95,2.15,37.18,56.1725,107.4458
441,Ormara,PK,1619315292,0,76,3.94,79.92,25.2088,64.6357
442,Sobolevo,RU,1619315833,19,91,8.34,29.25,54.4299,31.8996
443,Nagato,JP,1619315833,75,37,8.05,68.0,34.3833,131.2
444,Zeya,RU,1619315834,11,37,6.46,47.41,53.75,127.2667
445,Olinda,BR,1619315621,40,83,5.79,75.2,-8.0089,-34.8553
446,Khabary,RU,1619315834,34,49,4.61,42.57,53.6259,79.5345
447,Den Helder,NL,1619315834,90,65,10.36,45.0,52.9599,4.7593
448,Kanniyākumāri,IN,1619315247,49,73,4.79,83.35,8.0833,77.5667
449,San Vicente de Cañete,PE,1619315835,9,84,2.68,68.22,-13.0751,-76.3835
450,Aasiaat,GL,1619315306,2,89,12.95,28.98,68.7098,-52.8699
451,Kyrylivka,UA,1619315836,80,57,3.04,44.69,46.3759,35.3675
452,Wukari,NG,1619315836,99,78,4.09,79.11,7.85,9.7833
453,Porto da Folha,BR,1619315836,50,92,4.83,73.69,-9.9172,-37.2783
454,Assiut,EG,1619315837,0,52,8.05,66.2,27.181,31.1837
455,Utete,TZ,1619315837,100,97,3.04,72.68,-7.986,38.758
456,Saint Anthony,US,1619315249,1,33,10.36,46.4,45.0205,-93.218
457,Los Llanos de Aridane,ES,1619315838,75,59,10.36,66.2,28.6585,-17.9182
458,Jiangyou,CN,1619315838,100,79,2.89,61.27,31.7667,104.7167
459,Hay River,CA,1619315085,99,58,10.36,26.6,60.8156,-115.7999
460,Piranhas,BR,1619315839,15,60,3.38,68.86,-16.4269,-51.8222
461,Derzhavīnsk,KZ,1619315839,85,68,13.11,44.28,51.1,66.3167
462,Williamsburg,US,1619315840,90,100,12.66,54.0,37.2707,-76.7075
463,Celestún,MX,1619315840,95,77,12.28,80.94,20.8667,-90.4
464,Tsimmerbude,RU,1619315841,0,86,6.71,37.0,54.675,20.1347
465,Salekhard,RU,1619315841,100,91,5.82,31.35,66.53,66.6019
466,Marathon,US,1619315284,90,65,9.22,39.2,44.9,-89.7668
467,Namatanai,PG,1619315231,38,67,8.7,85.15,-3.6667,152.4333
468,Heraclea,TR,1619315842,100,37,1.57,58.89,37.5133,34.0467
469,Khadyzhensk,RU,1619315843,100,73,2.01,43.47,44.4256,39.5319
470,Pangai,TO,1619315822,100,78,7.61,79.95,-19.8,-174.35
471,Sørland,NO,1619315843,83,57,18.86,36.52,67.667,12.6934
472,São João da Barra,BR,1619315778,8,86,2.91,70.93,-21.6403,-41.0511
473,Santa Engracia,ES,1619315844,100,87,4.61,57.0,41.9406,-1.3245
474,Muriti,TZ,1619315844,100,84,7.61,69.6,-1.9833,32.9167
475,Palu,ID,1619315845,63,51,2.1,90.12,-0.8917,119.8707
476,Meulaboh,ID,1619315223,69,77,2.53,79.3,4.1363,96.1285
477,Chumikan,RU,1619315846,97,44,8.5,36.45,54.7183,135.315
478,Vrangel',RU,1619315846,3,52,15.55,46.92,42.7297,133.0839
479,Harindānga,IN,1619315847,20,70,5.75,86.0,22.0383,88.3214
480,Leningradskiy,RU,1619315101,100,85,1.39,32.47,69.3833,178.4167
481,Westport,US,1619315847,1,50,9.22,55.99,41.1415,-73.3579
482,Jeypore,IN,1619315848,0,39,4.72,84.11,18.85,82.5833
483,Sitka,US,1619315848,20,21,8.05,60.8,57.0531,-135.33
484,Sola,VU,1619315848,100,74,16.69,83.23,-13.8833,167.55
485,Purpe,RU,1619315849,100,88,7.09,36.0,64.4803,76.6897
486,Pundaguitan,PH,1619315559,100,68,9.01,84.4,6.3711,126.1689
487,Manavālakurichi,IN,1619315849,20,79,3.44,84.2,8.1333,77.3
488,Kapuskasing,CA,1619315850,100,93,9.22,24.8,49.4169,-82.4331
489,Isiro,CD,1619315850,100,99,0.87,65.8,2.7739,27.616
490,Haines Junction,CA,1619315851,24,18,5.75,57.2,60.7522,-137.5108
491,Alingsås,SE,1619315851,0,59,6.91,32.0,57.9303,12.5335
492,Agadez,NE,1619315851,2,11,6.93,85.05,19.75,10.25
493,Paamiut,GL,1619315268,100,86,12.82,36.1,61.994,-49.6678
494,Løgstør,DK,1619315852,40,74,2.3,35.01,56.9624,9.2583
495,Quatre Cocos,MU,1619315506,75,78,17.27,78.8,-20.2078,57.7625
496,Vila,PT,1619315278,94,89,2.77,55.0,42.0304,-8.1588
497,Buritama,BR,1619315853,23,48,4.7,68.13,-21.0661,-50.1472
498,Nushki,PK,1619315853,0,32,5.68,74.7,29.5542,66.0215
499,Platteville,US,1619315854,40,66,14.97,46.99,42.7342,-90.4785
500,Zonguldak,TR,1619315854,100,98,1.9,45.81,41.25,31.8333
501,Piterka,RU,1619315855,6,79,13.35,41.52,50.6803,47.4454
502,Hamilton,US,1619315622,90,93,4.43,51.01,39.1834,-84.5333
503,Ambon City,ID,1619315855,40,62,5.75,89.6,-3.6954,128.1814
504,San Benito,US,1619315470,100,53,1.01,59.0,36.6166,-121.0844
505,Vung Tau,VN,1619315856,12,70,7.45,84.42,10.346,107.0843
506,Sambava,MG,1619315296,95,90,10.78,74.48,-14.2667,50.1667
507,Isabela,PH,1619315360,20,74,6.91,86.0,6.7085,121.9711
508,Magdagachi,RU,1619315856,99,35,6.35,47.25,53.45,125.8
509,Manggar,ID,1619315857,9,63,7.72,85.75,-2.8833,108.2667
510,Sunndalsøra,NO,1619315857,100,93,3.44,33.8,62.6754,8.5515
511,Barra de Tecoanapa,MX,1619315578,57,77,3.38,80.91,16.5167,-98.75
512,Vila Velha,BR,1619315313,75,88,3.44,73.4,-20.3297,-40.2925
513,The Valley,AI,1619315858,20,69,10.36,79.0,18.217,-63.0578
514,Ørje,NO,1619315859,0,71,1.01,32.0,59.4802,11.6602
515,Nuevo San Juan Parangaricutiro,MX,1619315859,71,36,2.46,63.84,19.4,-102.1333
516,Kingisepp,RU,1619315859,83,95,3.56,30.63,59.3733,28.6134
517,Sur,OM,1619315175,0,38,7.58,84.22,22.5667,59.5289
518,Kourou,GF,1619315860,90,94,9.01,80.01,5.1552,-52.6478
519,San Miguel de Cozumel,MX,1619315861,40,78,6.91,80.6,20.5083,-86.9458
520,Beïnamar,TD,1619315861,100,62,7.11,77.5,8.6698,15.3813
521,Eyl,SO,1619315269,23,77,6.24,82.47,7.9803,49.8164
522,Faya,SA,1619315673,0,72,4.85,60.8,18.3851,42.4509
523,Pāsighāt,IN,1619315862,100,32,0.49,84.85,28.0667,95.3333
524,Diamantino,BR,1619315725,100,64,3.87,79.54,-14.4086,-56.4461
525,Ancud,CL,1619315709,90,100,2.3,55.0,-41.8697,-73.8203
526,Rodrigues Alves,BR,1619315862,54,94,2.1,73.47,-7.738,-72.6509
527,Alta Floresta,BR,1619315863,40,93,1.39,71.6,-9.8756,-56.0861
528,Tynset,NO,1619315863,90,80,16.11,24.8,62.2759,10.7824
529,Tura,IN,1619315367,3,26,3.27,86.94,25.5198,90.2201
530,Port Montt,CL,1619315131,0,93,1.14,46.4,-41.4698,-72.9447
531,Atasū,KZ,1619315864,100,32,15.03,42.33,48.6814,71.6433
532,Vostok,RU,1619315362,86,37,12.95,37.92,46.4856,135.8833
533,Anan,JP,1619315865,75,59,12.66,66.2,33.9167,134.65
534,Banda Aceh,ID,1619315865,100,64,7.02,83.41,5.5577,95.3222
535,Necochea,AR,1619315134,0,78,4.0,59.0,-38.5473,-58.7368
536,Gereykhanovskoye,RU,1619315866,19,80,3.49,48.79,41.7011,48.2811
537,Kendari,ID,1619315866,45,61,1.48,87.03,-3.945,122.4989
538,Pop,UZ,1619315866,0,44,6.91,57.2,40.8736,71.1089
539,Kuril'sk,RU,1619315867,100,94,12.37,31.64,45.2333,147.8833
540,Kalevala,RU,1619315867,100,94,10.22,33.13,65.2,31.1667
541,Wencheng,CN,1619315868,100,83,10.04,56.48,33.0559,113.7978
542,Newport,GB,1619315868,3,65,11.5,48.2,51.5877,-2.9984
543,Devils Lake,US,1619315869,1,28,8.05,43.0,48.1128,-98.8651
544,Camacha,PT,1619315501,20,77,13.8,62.6,33.0833,-16.3333
545,Arrondissement de Morlaix,FR,1619315869,0,76,11.5,48.2,48.5833,-4.0
546,La Ronge,CA,1619315741,99,50,6.91,30.2,55.1001,-105.2842
